################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: Vsd22113
#     Report Created on: Wed Dec 21 01:05:59 2022
#     Working Directory: /home/user2/Vsd22/Vsd22113/Desktop/HW4_2/build
#     Report Location  : ./spyglass-1/cdc/cdc_verify/spyglass_reports/clock-reset/Ac_initstate01_01.csv
#     SpyGlass Version : SpyGlass_vQ-2020.03
#     Policy Name      : clock-reset(SpyGlass_vQ-2020.03)
#     Comment          : CSV File for Uninitialised Sequential Elements
#
################################################################################
##Sheet_Prop:disable_row_filtering
#CrossProbeTag:AC_INITSTATE01_SS_SCH
#RuleName:Ac_initstate01
ID,NAME,MODULE,ASYNC RESET,ASYNC SET,CLOCK,ENABLE,DATA,OTHERS,CLOCK NAME,RESET NAME
1,top.WDT_wrapper.WDT.count[31:0],WDT,-,-,-,-,-,yes,top.clk2,top.rst2
2,top.WDT_wrapper.WDT.wden,WDT,-,-,-,-,X,no,top.clk2,NULL
3,top.WDT_wrapper.WDT.wden_temp,WDT,-,-,-,-,-,yes,top.clk2,NULL
4,top.WDT_wrapper.WDT.wdlive1,WDT,-,-,-,-,-,yes,top.clk2,top.rst2
5,top.WDT_wrapper.WDT.wtocnt1[31:0],WDT,-,-,-,-,-,yes,top.clk2,top.rst2
6,top.WDT_wrapper.WDT.wdlive2,WDT,-,-,-,-,-,yes,top.clk2,top.rst2
7,top.WDT_wrapper.WDT.wtocnt2[31:0],WDT,-,-,-,-,-,yes,top.clk2,top.rst2
8,top.WDT_wrapper.WDT.wdlive3,WDT,-,-,-,-,-,yes,top.clk2,top.rst2
9,top.WDT_wrapper.WDT.wtocnt3[31:0],WDT,-,-,-,-,-,yes,top.clk2,top.rst2
10,top.WDT_wrapper.WDT.wdlive4,WDT,-,-,-,-,-,yes,top.clk2,top.rst2
11,top.WDT_wrapper.WDT.WTO,WDT,-,-,-,-,-,yes,top.clk2,top.rst2
12,top.WDT_wrapper.wto_temp,WDT_wrapper,-,-,-,-,X,no,top.clk,NULL
13,top.WDT_wrapper.wto,WDT_wrapper,-,-,-,-,X,no,top.clk,NULL
