################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: Vsd22113
#     Report Created on: Wed Dec 21 01:05:59 2022
#     Working Directory: /home/user2/Vsd22/Vsd22113/Desktop/HW4_2/build
#     Report Location  : ./spyglass-1/cdc/cdc_verify/spyglass_reports/clock-reset/Ac_initstate01_02.csv
#     SpyGlass Version : SpyGlass_vQ-2020.03
#     Policy Name      : clock-reset(SpyGlass_vQ-2020.03)
#     Comment          : CSV File for initialized Sequential Elements
#
################################################################################
##Sheet_Prop:disable_row_filtering
#CrossProbeTag:AC_INITSTATE01_SS_SCH01
#RuleName:Ac_initstate01
ID,Sequentail Element Name,Initial Value,Initialization phase,Clock Name,Reset Name
1,top.IM1.s_slave[1:0],00,After Clock Simulation,top.clk,top.rst
2,top.IM1.reg_ARID[7:0],00000000,After Clock Simulation,top.clk,top.rst
3,top.IM1.reg_AWID[7:0],00000000,After Clock Simulation,top.clk,top.rst
4,top.IM1.reg_ARLEN[3:0],0000,After Clock Simulation,top.clk,top.rst
5,top.IM1.reg_AWLEN[3:0],0000,After Clock Simulation,top.clk,top.rst
6,top.IM1.cnt[3:0],0000,After Clock Simulation,top.clk,top.rst
7,top.IM1.reg_RADDR[13:0],00000000000000,After Clock Simulation,top.clk,top.rst
8,top.IM1.reg_WADDR[13:0],00000000000000,After Clock Simulation,top.clk,top.rst
9,top.ROM_wrapper.slave_status[1:0],00,After Clock Simulation,top.clk,top.rst
10,top.ROM_wrapper.reg_ARID[7:0],00000000,After Clock Simulation,top.clk,top.rst
11,top.ROM_wrapper.reg_AWID[7:0],00000000,After Clock Simulation,top.clk,top.rst
12,top.ROM_wrapper.reg_ARLEN[3:0],0000,After Clock Simulation,top.clk,top.rst
13,top.ROM_wrapper.reg_AWLEN[3:0],0000,After Clock Simulation,top.clk,top.rst
14,top.ROM_wrapper.cnt[3:0],0000,After Clock Simulation,top.clk,top.rst
15,top.ROM_wrapper.reg_RADDR[13:0],00000000000000,After Clock Simulation,top.clk,top.rst
16,top.ROM_wrapper.reg_WADDR[13:0],00000000000000,After Clock Simulation,top.clk,top.rst
17,top.DRAM_wrapper.slave_state[2:0],000,After Clock Simulation,top.clk,top.rst
18,top.DRAM_wrapper.delay_cnt[2:0],000,After Clock Simulation,top.clk,top.rst
19,top.DRAM_wrapper.write,0,After Clock Simulation,top.clk,top.rst
20,top.DRAM_wrapper.reg_ADDR[31:0],00000000000000000000000000000000,After Clock Simulation,top.clk,top.rst
21,top.DRAM_wrapper.reg_ID[3:0],0000,After Clock Simulation,NULL,top.rst
22,top.DRAM_wrapper.reg_ID[5:4],00,After Clock Simulation,top.clk,top.rst
23,top.DRAM_wrapper.reg_ID[7:6],00,After Clock Simulation,NULL,top.rst
24,top.DRAM_wrapper.reg_BURST[0],0,After Clock Simulation,top.clk,top.rst
25,top.DRAM_wrapper.reg_BURST[1],0,After Clock Simulation,NULL,top.rst
26,top.DRAM_wrapper.reg_LEN[1:0],00,After Clock Simulation,top.clk,top.rst
27,top.DRAM_wrapper.reg_LEN[3:2],00,After Clock Simulation,NULL,top.rst
28,top.DRAM_wrapper.reg_SIZE[0],0,After Clock Simulation,NULL,top.rst
29,top.DRAM_wrapper.reg_SIZE[1],0,After Clock Simulation,top.clk,top.rst
30,top.DRAM_wrapper.reg_SIZE[2],0,After Clock Simulation,NULL,top.rst
31,top.DRAM_wrapper.read_cnt[3:0],0000,After Clock Simulation,top.clk,top.rst
32,top.DRAM_wrapper.reg_WDATA[31:0],00000000000000000000000000000000,After Clock Simulation,top.clk,top.rst
33,top.DRAM_wrapper.reg_RDATA[31:0],00000000000000000000000000000000,After Clock Simulation,top.clk,top.rst
34,top.DM1.s_slave[1:0],00,After Clock Simulation,top.clk,top.rst
35,top.DM1.reg_ARID[7:0],00000000,After Clock Simulation,top.clk,top.rst
36,top.DM1.reg_AWID[7:0],00000000,After Clock Simulation,top.clk,top.rst
37,top.DM1.reg_ARLEN[3:0],0000,After Clock Simulation,top.clk,top.rst
38,top.DM1.reg_AWLEN[3:0],0000,After Clock Simulation,top.clk,top.rst
39,top.DM1.cnt[3:0],0000,After Clock Simulation,top.clk,top.rst
40,top.DM1.reg_RADDR[13:0],00000000000000,After Clock Simulation,top.clk,top.rst
41,top.DM1.reg_WADDR[13:0],00000000000000,After Clock Simulation,top.clk,top.rst
42,top.WDT_wrapper.WDT.wdlive,0,After Clock Simulation,top.clk,top.rst
43,top.WDT_wrapper.WDT.wtocnt[31:0],00000000000000000000000000000000,After Clock Simulation,top.clk,top.rst
44,top.WDT_wrapper.WDT.cont[2:0],000,After Clock Simulation,top.clk,top.rst
45,top.WDT_wrapper.s_slave[1:0],00,After Clock Simulation,top.clk,top.rst
46,top.WDT_wrapper.reg_ARID[7:0],00000000,After Clock Simulation,top.clk,top.rst
47,top.WDT_wrapper.reg_AWID[7:0],00000000,After Clock Simulation,top.clk,top.rst
48,top.WDT_wrapper.reg_ARLEN[3:0],0000,After Clock Simulation,top.clk,top.rst
49,top.WDT_wrapper.reg_AWLEN[3:0],0000,After Clock Simulation,top.clk,top.rst
50,top.WDT_wrapper.cnt[3:0],0000,After Clock Simulation,top.clk,top.rst
